duration,genre_top,interest,listens,spectral_bandwidth_kurtosis_01,spectral_bandwidth_max_01,spectral_bandwidth_mean_01,spectral_bandwidth_median_01,spectral_bandwidth_min_01,spectral_bandwidth_skew_01,spectral_bandwidth_std_01,spectral_centroid_kurtosis_01,spectral_centroid_max_01,spectral_centroid_mean_01,spectral_centroid_median_01,spectral_centroid_min_01,spectral_centroid_skew_01,spectral_centroid_std_01,spectral_rolloff_kurtosis_01,spectral_rolloff_max_01,spectral_rolloff_mean_01,spectral_rolloff_median_01,spectral_rolloff_min_01,spectral_rolloff_skew_01,spectral_rolloff_std_01,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_minutes,is_short_track,is_long_track,popularity_ratio,has_engagement,energy_valence_product,tempo_category_encoded,artist_name_encoded
230,5,1825,1532,-0.60387057066,4026.4077148,2080.7043457,2082.1608887,221.93516541,0.020405912772,810.1015625,0.29881730676,6449.7905273,1660.2563477,1418.1448975,56.904769897,0.90848040581,1164.5025635,-0.95187109709,9410.0097656,3713.4470215,3558.3618164,43.06640625,0.32182696462,2679.4643555,0.0630040903,0.8225481024,0.4237207992,0.8547633839,0.6947090834,0.133117136,98.0,0.443557912,3.8333333333333335,0,0,0.8389923329682366,1,0.18794471296412327,1,329
233,11,601,402,2.5537242889,2791.1555176,1383.4152832,1309.1000977,776.86938477,1.5918220282,405.02139282,6.045317173,3253.4050293,1260.7103271,1171.7845459,434.83383179,2.242587328,439.80960083,7.6049175262,6815.2587891,2555.3051758,2271.7529297,850.56152344,2.8012795448,989.99285889,0.8382492452,0.2530471248,0.4773116977,0.9563393112,0.1049143355,0.0356507695,85.669,0.3373791185,3.8833333333333333,0,0,0.6677740863787376,1,0.1610349998197645,2,1237
448,2,2289,767,1.3242899179,3549.6259766,2319.1176758,2335.8691406,561.30163574,-0.68901467323,398.25512695,0.94216644764,5998.8037109,2033.1768799,1927.6314697,123.49133301,0.85901737213,898.28942871,0.86019396782,9539.2089844,4660.9702148,4705.0048828,75.366210938,-0.52498400211,1517.2205811,0.0001229281,0.7089031638,0.5008499694,0.9372985452,0.0714143331,0.0440708974,125.007,0.4687707954,7.466666666666667,0,1,0.3349344978165939,1,0.23478383853170368,0,1530
153,11,2485,958,1.9660545588,3463.8928223,1560.4819336,1646.6467285,0.0,-0.62081027031,314.12667847,7.8410224915,5626.8388672,1477.4663086,1544.8120117,0.0,0.24775324762,367.84841919,10.933503151,9517.6757812,2681.612793,2756.25,0.0,1.0016146898,643.66143799,0.5893967531,0.3489451781,0.6351376666,0.9725377117,0.1091105382,0.03241369,101.232,0.5446733678,2.55,0,0,0.38535800482703136,1,0.34594257188365557,1,844
179,2,781,564,-1.538192153,4024.0527344,2071.0698242,1833.2558594,470.60620117,0.134135589,1097.6881104,-0.81433576345,7363.4404297,2369.7854004,1314.2275391,190.75038147,0.80381953716,2177.2277832,-1.6655571461,9851.4404297,4296.5473633,2777.7832031,21.533203125,0.23505701125,3616.3981934,0.0230753327,0.5780669608,0.1221988232,0.89025341,0.1147705794,0.215784558,80.28,0.398830833,2.9833333333333334,0,0,0.7212276214833759,1,0.048736658448475724,2,1664
191,5,372,266,3.7980821133,3595.8564453,1578.4614258,1536.0471191,0.0,1.3011442423,346.55838013,1.611741662,5667.0654297,1407.965332,1276.491333,0.0,1.1260080338,592.69848633,0.98277360201,9571.5087891,2954.581543,2799.3164062,0.0,0.90339452028,1129.3087158,0.4906668308,0.4836748661,0.5545400863,4.16e-07,0.2004552303,0.495373695,190.648,0.5909860723,3.183333333333333,0,0,0.7131367292225201,1,0.32772546753534,3,1418
151,11,189,107,159.90223694,3385.8605957,622.7779541,617.14855957,0.0,5.1785111427,112.53067017,285.8604126,5547.3022461,545.94500732,541.65264893,0.0,9.7175226212,151.69506836,210.55445862,9431.5429688,1017.0613403,990.52734375,0.0,8.3202285767,302.20767212,0.989574167,0.1567783932,0.7479635733,0.9728700043,0.1334569584,0.0634062771,102.03,0.0388617863,2.5166666666666666,0,0,0.5631578947368421,1,0.029067200545768983,1,909
228,4,46851,39497,-0.06268209219,3627.4990234,1212.4399414,1342.7045898,314.60256958,-0.022601434961,499.2427063,4.1427960396,4853.2368164,996.68151855,1015.8609619,130.59117126,1.4169876575,579.55322266,1.7741019726,8850.1464844,1949.2943115,1851.8554688,161.49902344,1.0534818172,1230.1523438,0.3056730835,0.1877697832,0.4375077781,0.3581743926,0.0989177512,0.0438574431,218.126,0.0906288244,3.8,0,0,0.843016306667805,1,0.03965081559505907,3,791
81,11,2576,1708,9.9168014526,3494.6889648,1232.6005859,1164.717041,747.00164795,2.497805357,337.2069397,19.416448593,5497.3422852,1065.2497559,1011.2954712,477.93710327,3.2293150425,323.574646,20.987926483,9366.9433594,2119.5913086,1905.6884766,678.29589844,3.8377370834,760.57592773,0.9107033035,0.6109007522,0.5488654315,0.9376626607,0.1099011986,0.0376589895,122.626,0.6092125051,1.35,1,0,0.6627861854870004,1,0.33437568448690747,0,1358
356,2,1545,1195,3.5709502697,3657.0495605,2486.4770508,2591.7546387,0.0,-1.6950528622,419.99728394,3.2367918491,5780.3125,2409.5053711,2442.0634766,0.0,0.39038470387,744.29730225,2.4061019421,9819.140625,5280.7070312,5663.2324219,0.0,-1.2299827337,1497.7453613,0.0219004844,0.2710029025,0.9381867206,0.5785372164,0.3128217359,0.2995476206,85.343,0.2291079217,5.933333333333334,0,1,0.7729624838292367,1,0.21494600972320457,2,1773
233,5,686,280,-0.006930295378,2964.0566406,1597.7128906,1604.0852051,775.37133789,0.13997472823,278.12286377,2.6428420544,4562.1342773,1445.609375,1436.8465576,176.78070068,0.78063619137,469.78128052,0.95902556181,8602.5146484,2945.5383301,2799.3164062,43.06640625,0.31348335743,973.2588501,0.7175223355,0.624446451,0.8973989577,0.8532619309,0.0656947253,0.0754397665,124.457,0.91169571,3.8833333333333333,0,0,0.40756914119359533,1,0.8181547798935616,0,108
